donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(UNESCWA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142177.76,,,,
(UNECE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510085.73,12751100,,
(UNFPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306962634.2,379595060.36,462866824.94,228733554.17,231454704.52,236283008.85,222544531.6,267594670.96,348509050,,
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,5984563391.56,4966937948.12,5874917782.38,8425326920.2,5662840446.37,5761480471.42,5388124649.04,9900340541.85,8990556835.98,9685173326.7,9902547765.35,11405736062.45,13612317349.89,12729693767.67,10761666702.68,9777068891.78,9129162809.09,9947260207.48,17257619623.07,6927123109.42,6527077468.94,7905660547.42,8146553191.45,5640988600.3,7232389176.07,8719433133.77,16936485116.1,15347494068.95,14733979653.11,17397192155.12,26206465919.93,29436781161.18,30917693203.29,26332875164.27,25788593097.8,32205372092.67,30454711225,,
WFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436791557.12,,
World Bank - Carbon Finance Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5091004.17,20598642.63,36821865.35,1134813658.19,298357413.91,103389829.91,221738290.47,97361700,58217809.88,
World Bank - Debt Reduction Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12794031.79,,,,,,,27926373.23,14920205.67,7403293.74,,,,,,1020498.98,,36823018.4,,39000000,,
(IBRD),3833043721.3,185096678.69,1604942451.51,2153291362.14,1607256159.99,2318335900.64,1982076934.36,2181055863.94,3135074995.39,3797566857.87,3928677005.29,5939289677.63,4788605325.05,4735390029.95,5440299881.29,4791850072.43,5627138919.78,5081031917.24,7952472347.03,5346696692.21,4007692765.53,7189067484.69,7736449677.1,9863782362.3,10932285643.98,10475868299.18,11386327350.03,14380815530.95,16460071139.43,18372827142.59,16324991583.48,19225631656.86,18753773784.69,20611977698.17,21835734257.51,23877816764.48,29463195779.04,23810172500.69,33215751424.11,28455634416.85,25794223099.31,24696435424.54,29652305951.36,23114398459.75,24971720620.03,21282189281.65,21830086139.87,22467898560.45,19768264948.55,19622301717.94,24901388485.35,35078852931.64,19261065518.1,15469754459.67,17716290721.87,14910140285.35,13454884526.28,14520994064.54,16052811774.52,15084191862.19,11975459299.41,22704761251.16,43637066398,37396176010.13,18252417907.02
(IDA),,,,,,,,,,,,,,,1394394979.49,1384674831.35,1498904136.14,2966378760.16,1336424046.67,3189456805.52,463207477.47,847030668.2,3014051770.11,3875773324.66,3735632348.64,4668498984.77,7329019160.5,5255529895.84,6286580083.29,4255401097.43,5588540294.62,8143851444.52,6843975935.14,8922982595.66,8974766138.55,6968599328.59,7709596924.61,8223322212.03,8358256337.53,6150037921.73,6919834498.29,7291537576,8373592285.92,9589279137.44,10537896194.91,8802746758.41,7663994957.21,9950194727.59,7437801615.48,8416738457.67,8045434533.74,10303510376.22,7950383181.29,8509869525.45,10385484325.12,11687272821.18,9609626395.03,13270525976.58,8669070788.43,8690561981.49,13173393916.63,11810655959.64,16211210000,14224949773.79,13726962424.86
(IFC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589277829.48,1970336038.7,1502394481.26,3206989175.71,1767978694.35,2356893999.84,2396081798.32,1657132009.95,2127834917.8,2931216490.49,3010009212.74,4498846717.77,4433050987.19,5626678929.27,5792280138.25,6739650222.6,10404113622.26,9049694841.53,8374356201.94,7375384721.74,8452789455.57,8107204523.08,8487300330.09,,,,,,,,,
World Bank - Managed Trust Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800578.45,13354041.7,3215181.92,14744067.17,1947059879.63,182480611.93,78275895.78,187759406.16,246998851.52,287248059.86,440366210.16,399449694,514012240.25,39860550.3
(WTO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17653041.76,,,,
(WTO) - International Trade Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41612056.51,,,,
