donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(CDB),,,,,,,,,,,,,,,,,,,,,,,,4556159.86,34965811.16,77564980.72,90977478.05,170100336,86242638.06,88585748.25,97149040.96,139218628.6,236504895.21,106065509.99,135559582.8,140534242.34,134348149.47,168481931.89,103567856.64,127969782.25,70841470.13,113624313.84,130369404.92,182452260.41,163873097.68,116199445.88,133267349.88,77966726.09,137292820.44,136138933.55,123408835.56,223877905.02,218226889.62,263133638.64,163660497.52,173249781.13,250677827.25,142493469.11,165792531.81,137267488.84,193395515.47,289423437.12,163569950,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248068.76,67509.39,151266.43,160498.59,1869125.54,749408.91,1445534.09,,,
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853.97,334237.94,236380.31,,,
(CBFF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10881778.3,4988066.17,
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,190949723.82,308931652.7,259018419.08,297042747.3,397422306.43,491075342.69,510278618.73,541261312.86,521874439.06,862079620.61,670264350.05,837988959.06,1022664897.89,1076432362.43,805825199.38,1001719401.79,1067681334.09,687386441.86,707215628.52,897026041.73,1066542456,812757067.98,1248918748.8,2055122521.22,1285363639.6,647779419.47,1048053859.95,1727845207.51,1718380669.64,1490277561.98,951844042.23,2112213689.04,1873862641.5,1615992105.65,1569260374.81,1541538624.76,1940935752.34,,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646921.15,610377.38,455190.25,635761.07,612397.13,578218.33,1400256.96,2516147.6,3310287.98,2220403.86,2855336.14,
(EBRD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805965306.09,2217120242.39,3819545644.85,4166255011.21,4565389314.05,4592651024.86,6343611866.95,3197172608.41,3791582441.59,4849415337.87,4958852612.68,5317668561.02,5269696764.41,5989254541.63,6030349350.27,6913296105,7828356956.74,,,,
(EC),,,,,,,,,,,,,,,,,,,,,,,,,,,1880377088.66,3156514261.64,416082513.9,1508983668.88,2848293400.94,1190721500.04,1889764501.04,2611455740.7,3119184033.43,4994742361.95,3536672214.34,4559816259.88,1942861757.41,512855883.59,3310074554.78,3922200510.84,2144663785.37,1647080177.92,2345536824.38,3720643755.61,3487176903.89,4192200597.81,4639588887.81,5490165270.81,5597040645.74,8373038207.69,9377572383.39,10709974645.6,18604032553.76,20697177296.44,21514209779.55,13438070973.53,17886106929.5,19617330197.29,22185293661.91,16595429225.99,16122499586.34,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,80048568.72,80705088.71,58055868.63,16282702.09,7539505.13,145642594.52,21515255.71,124281337.47,67599108.61,85820048.48,100557913.1,31490083.92,44074331.81,441755249.17,615789345.56,729350328.15,618928586.8,856718256.24,510789957.91,364950412.4,250056192.19,283250324.52,278194573.17,280926112.65,319304052.21,366781939.12,371945293.57,484622566.08,485428939.39,559175439.21,591756041.85,847255162.88,751489449.24,711222354.03,941644908.53,1359330543.37,,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,2923633627.29,2847804306.42,1550284749.09,1972198854.04,2653024278.5,1374453005.22,1576028664.2,2809165386.54,2888464626.68,3120229081.55,2835399505.99,4334537965.66,3293949128.26,3538637147.84,3090684473.12,4367956844.47,5217683495.07,4182973006.85,5021009618.72,3984208556.21,3900306197.19,3908673025.08,4076846545.29,4079317425.49,3874871373.07,6003965690.41,5792026836.12,5966696142.59,6408043838.45,8027737286.8,10712824681.95,8746276637.93,10922648227.52,11531079658.84,8911060942.21,10531381341.92,9812643862.81,,
