donor,recipient,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201956.97,7949096.94,8383137.33,6002386.29,2576306.72,1972040.5,50161.48,1506006.3,1604058.9,678211.64,3578586.45,1587478.99,,,,4718.48,2230271.69,,
CAN,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842053.99,716923.1,,26947.61,240187.5,1551614.58,,,26608,806269.3,,,,,,,,
CAN,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,5974328.96,23981822.21,62515.46,71366.67,267299.66,62685.79,152745.38,,557168.36,2323328.06,76831.06,39703281.27,57401317.64,41928570.49,53196722.22,32947964.61,23971262.28,48721915.93,41617391.4,24315714.03,33540833.59,20714611.18,3971791.2,31925060.04,24637310.34,37152556.63,50089656.68,13399501.07,18216972.73,37680114.35,23205298.48,168466771.51,33534683.61,37596828.44,120084959.03,210504532.82,85377160.37,,
CAN,"Europe, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410264.86,8636831.05,,,12771784.87,8249746.48,175548351.62,5448523.88,1727177.14,1823208.25,11459305.56,9149104.62,11645980.22,17120271.7,,
CAN,"Far East Asia, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713666.68,,,,,,530849.44,,15184730.52,1069352.81,1159277.38,1001158.49,,,37425241.95,4966618.6,15620322.44,3193272.55,2446435.4,8087183.09,2402224.49,510882.35,60103.25,615104.37,106378.32,,802477.78,19354.61,3247249.32,12658436.5,875765.59,,13564610.29,13192971.09,,
CAN,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608109.65,237419.22,104838.51,1218780.07,37779.57,,,,,91298.67,,,,,,,,,16840.51,88728.69,23104.66,42814.42,7741.07,44832.71,405190.11,6846.08,111095.53,,
CAN,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,59783.15,11418267.68,,,3790309.22,,,,,3447074.28,8010046.42,712257.67,19226917.81,1169611.69,4579298.13,21326627.78,195590.66,10273521.48,1307327.93,3932739.11,15505700.7,608407.98,4247572.49,464881.58,280704.59,1697381.08,953134.69,1550537.26,1063057.41,5974637.46,705636.77,755151.54,113477.69,64471.26,62478.64,60053.36,2686397.9,,
CAN,GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71366.67,5845843.62,62685.79,56994.54,,,,2452055.03,576137.32,375501.33,655578.53,35608.85,,,96049.65,,373161.94,231145.57,902134.12,412234.33,513626.05,331770.37,502679.64,520311.79,672994.3,281026.06,769354.17,59497.57,273250.73,851036.35,127552.78,44785.71,837418.38,1975433.83,,
CAN,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2989482.72,,,,44912.73,67658.44,,1352744.88,5743667.59,2154808.03,4808410.54,2409060.41,1229341.66,2232547.55,44627.6,3445930.05,43821.21,,
CAN,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,35893800.27,43773486.17,35577550.69,16771167,104286963.41,12564740.55,11765953.61,6795552.38,35542854.3,361942.8,62123631.43,20472738.83,70377321.16,28311024.49,45453406.8,72280084.19,76001206.45,115249848.99,82565410.03,22740087.41,10251848.93,15901991.33,80991425.14,7049508.45,15916264.55,22165936.23,31217875.25,20447043.26,26868228.64,13989111.61,36024293.19,274895659.64,16544218.12,5341405.23,11500458.06,299640698.05,53807861.53,,
CAN,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,199277.15,5432327.35,4782433.01,3025946.73,304721.61,391159.36,1392946.65,,16690744.9,2559452.65,94812.79,9892467.67,307016.65,13859525.99,2076708.14,7429218.37,229493.04,631905.61,1403075.89,545204.13,942354.44,106272.34,47545.51,46492.25,52244.74,92940.14,182735.87,107495.86,32628.49,247677.49,520975.66,8450272.75,543747.27,33769.23,191169.94,,1318834.36,,
CAN,GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230644.72,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281319.59,1641433.37,10210847.12,,227978.17,,224363.1,,155296.82,979750,597564.93,1254518.04,1869330.75,755244.8,,13692147.29,,1434492.64,3528581.13,3862856.83,8277876.7,10753768.15,12586950.92,5548894.06,7604242.45,7560641.19,3971982.43,48643394.88,1462877.25,1431574.86,16667093.55,6235311.95,4542955.95,14973962.5,12037134.09,,
CAN,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730040.56,234432.99,228373.34,,,227978.17,,,4931039.75,8173516.75,50387127.37,9826232.19,3064829.61,16250454.89,19869410.45,6917765.08,16805062.21,2723159.17,10774133.77,29355960.53,2578337.1,4122596.21,37293615.9,2193670.42,4629156.54,11050578.17,23524363.32,7779896.17,23799605.3,552574.27,3045540.82,1254877.92,537058.93,223138.01,295790.99,6062042.08,,
CAN,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62685.79,56994.54,,140226.94,,,553978.19,349475.52,521482.92,195136.5,,,,337651.5,1308489.9,92458.23,1403437.3,461887.21,289257.82,224563.67,660064.45,148689.01,679160.95,275763.41,263285.59,230844.03,468916.87,120097.22,104075.03,78544.58,103051.56,2210823.86,,
CAN,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,15974056.35,6331948.44,7820684.58,770760.02,24059642.65,5626676.88,6953334.34,1236496.43,13792721.52,10677312.57,31038112.52,633117.93,492726.42,1193450.91,1028383.59,13003176.89,65711940.91,25239574.07,9588299.02,1721633.48,51156037.12,909083.15,11485720.3,11764687.6,15121870.56,13480763.44,483172.78,7251095.71,7695062.08,20628817.86,50684462.53,2091533.62,2681385.18,3562468.77,3231437.21,1857192.45,6279561.8,,
CAN,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,322828.98,22656611.13,8098878.39,18809399.05,50781589.93,10601421.48,40083122.69,3788194.24,16079355.45,2388822.47,21806942.69,664773.83,25901247.98,10290461.15,13235350.97,2882820.26,43425097.54,17221633.35,13466721.17,12020759.98,46385514.04,34690772.86,31451382.55,31794579.71,59192676.15,65747876.95,12279998.9,37712441.2,16802622.22,29378173.82,20646823.9,75065414.06,151234692.33,144570980.72,78464802.01,267457285.01,80893041.16,,
CAN,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,99638.58,2162550.7,3203917.54,2069633.38,50458157.33,,113989.09,,186969.25,317130.83,53776836.12,1024068.26,721941.98,19364895.64,36272599.18,23099323.79,28282097.29,2842327.88,9854953.41,2049967.52,232433.1,3132672.54,18448525.6,15696080.27,6502499.33,12460891.43,24100176.82,4295265.13,14468632.32,52994045.99,1508175.09,23411798.14,20943609.48,14977838.28,4885803.05,14816023.01,40606923.75,,
CAN,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251636.42,,193100.97,,61088,,,44333.88,,,,,,,,,,,,,,,,,,,,,,
CAN,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015210.8,95645.18,4998836.39,2095412.56,2405076.92,1021642.26,517574.19,159647.32,83044.09,25399.19,368868.19,53725.96,,,,,,,
CAN,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,347096954.38,37593781.31,56882820.91,28883517.91,2654285.66,25638489.75,59666447.92,100038153.04,425166203.46,20749663.63,63436298.23,461032524.94,26587017.27,242967494.13,203357326.34,48304467.04,5631706.96,19111369.84,35388985.31,144415702.67,34193673.84,28854805.84,27640292.31,87250492.24,53254701.82,61592561.76,70781825.27,37731973.53,29396158.13,31030954.14,12235788.55,12848329.26,18873310.36,15686823.51,14249648.33,4043147.9,9622725.7,,
CAN,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,297273681.33,13373213.51,56673394.1,134503332,24829465.68,169873486.84,48803287.89,21430533.52,68245645.72,92784898.33,59370790.98,49413271.71,21022965.23,156797993.58,71063870.19,151395201.96,124609503.33,50973331.18,18599829.52,51494268.76,65280845.76,46794212.76,65481939.82,23634273.12,15569480.96,30494921.16,30614339.23,27358539.35,24058778.4,48846153.63,41642301.91,6056511.71,91539247.07,114997931.93,37599315.85,21521529.01,44762243.63,,
CAN,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635462.05,,,,553846.18,,1386494.44,2827831.33,,,,459606.64,,224563.67,,,,,6327.16,761079.65,294049.95,,115007.51,,,3300631.03,,
CAN,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553846.18,,,2462042.2,4599034.29,1186547.27,2951533.69,2424821.23,2386602.07,1120572.72,,,1064315.41,,520582.41,100099615.45,140382964.69,441847337.11,31473884.86,10571207.76,130137836.82,6793698.5,,
CAN,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44698.54,,134265.74,,2342898.75,1294330.76,2424341.03,702286.96,2554078.66,6928.31,,481924.85,322623.78,186588.16,,182904.66,2379.04,147860.66,,,,,,,,
CAN,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,7197890.66,18528734.37,4522993.84,33756434,168398.79,18146283.64,9317468,6731345.7,33280526.4,13586643.27,55213740.36,26702479.98,117473718.52,58401348.7,32703512.7,47053337.59,30082042.46,42751843.56,82284368.89,20476717.31,146799294.67,2514840.55,2137209.83,1421832.82,1256523.58,28591463.77,4913364.99,12762887.18,1415655.65,28777965.2,1024389.44,4935021.25,804549.27,1030407.96,2154299.49,20216362.93,5167957.93,,
CAN,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51779.58,93484.62,287830.7,,1006657.52,460524.98,785204.28,40965845.63,,,46943565.45,16007166.23,2781752.63,22485126.47,11951516.49,5092693.29,4343444.61,3924327.61,7293929.22,6732540.01,902637.39,7650497.87,8615142,10242224.5,21493776.74,918696.48,2868743.75,6436232.81,12646208.42,4800078.86,,
CAN,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6553277.49,1149766,438652.21,2266465.62,3512240.83,2265049.05,27525.27,47378.47,38099.5,793398.2,138152.7,,,89719.53,,
CAN,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,16767179.41,49534521.24,390721.65,8064433.49,3204922.96,19074033.4,201487110.93,5675042.22,405723.27,56283828.81,2805150.94,225888441.85,17319002.75,2141059.85,69881656.37,39284354.48,8608596.76,158359338.5,55239208.32,21014526.05,6322727.73,4284485.24,8553582.94,8355917.43,10951711.98,8213202.18,7103902.94,14808939.9,10629005.79,14511287.62,23502668.92,17384833.34,9621801.83,24814528.14,27108706.95,32226634.26,25818869.36,,
CAN,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237419.22,,223492.68,,,,,,,,,,,,,,,,2495.67,2664.58,2889.87,2591.07,,,,425153.36,,
CAN,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425713.68,684940.7,1182347.74,,119196.1,,,39118.13,303314.7,,156291.85,150490.06,,750.57,,,,,,,,34387.71,,,,,,,,
CAN,PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108481.91,3846438.83,7589359.81,297023.37,3736822.03,2714480.25,310284.82,6739839.16,511344.07,1559217.05,208323.86,2677656.1,5576383.55,7817.7,,
CAN,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676584.32,9901517.72,28906806.56,,,,,,,,,,,
CAN,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.81,,,,,,,,,,,,,,,,,,,,,
CAN,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104543.36,241405.94,67658.44,220550.93,3098222.14,,106453.9,,,,12894.25,,90756.93,88886.92,,
CAN,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,8771305.63,,71366.67,,6268579.4,,,,,,,,84927.22,,,,384198.62,,1976062.08,389621.17,1227551.83,1577016.86,1300317.06,2016033.83,555938.12,1075067.54,2276117.25,1155680.23,7137964.64,898454.11,1904163.95,596921.03,837205.34,120494.52,171581.03,2593917.63,,
CAN,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542270.62,595704.25,,1799877.87,1375721.52,,669454.38,599993.59,547910.9,,,,,,,,,
CAN,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103559.16,205666.17,,,1742907.19,2495657,2160277.26,3740177.01,7669930.5,1760151.61,509879.58,1167711.44,1388300.53,539339.67,4232683.39,9233725.71,2034702.33,4920504.41,2247421.63,3709124.75,3176768.62,1803271.64,3068519.9,1006813.97,1257879.27,793114.5,13856722.26,6363494.34,12796871.23,15275372.49,,
CAN,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,199277.15,3165974.22,24262251.67,142733.34,41527675.6,749722.1,56994.54,17739684.9,140226.94,8721097.92,5706749.4,11323314.19,1561632.53,12138632.37,361785.92,6656307.03,3954843.08,37914.34,,1111651.84,108453.17,390764.58,279643.83,170451.12,249321.81,388934.53,34977.83,380737.55,330495.07,214916.2,203464.31,370248.94,663857.73,1435.87,593864.79,75495.65,1787545.99,,
CAN,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023781.06,49041.1,299148.22,76754.16,74497.56,,,400308.88,,4713052.22,2592449.27,1972442.21,1596731.34,2852730.86,2355607.24,,732966.42,,620495.88,404172.32,616942.21,3319516.96,1186945.82,472823.72,3050411.5,1893924.01,2541115.1,1859780.9,,
CAN,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982.45,,,,,,,87984.23,,
CAN,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878658.84,10390.12,801120.19,1524787.34,2581169.32,,250114.11,2380252.08,176930.42,384993.57,,,,,,,,
CAN,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84211.38,1643536.24,27707.4,2538392.24,13731333.59,1691758.52,151207.88,,,,,,,,
CAN,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,13857624.86,178169.08,1584340.03,38771816.09,664469.42,56994.54,19042459.19,233711.56,,,717968.4,214911.66,624989.83,14528410.89,1913286.82,341631.68,41652690.5,,3890550.01,231145.57,1027566.18,1061878.69,340902.25,277942.45,311352.85,212981.27,735974.1,296814.05,1957399.21,1963710.81,21780037.67,195749.02,184203.59,1166654.76,1158171.96,4284469.76,,
CAN,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,9453708,69201622.29,20317525.88,71366.67,101958783.35,260958452.94,93471.05,513653.46,29327996.46,7459468.73,11130695.11,2390020.19,2336396.72,18095278.44,647440.11,35786236.81,2719587.68,3306984.51,2954450.64,9013149.88,4933680.57,14189608.52,18871325.59,3851351.07,6876532.58,18518876.9,19926677.09,44271540.32,26144370.74,7442193.31,24611799.51,5357913.51,11925976.78,4471790.72,14406635.38,3491359.33,16436897.46,,
CAN,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408253.01,,21481367.09,5345993.25,250743.18,4089928.45,,327196.19,563596.65,1579123.43,17898243.93,13530223.84,6306963.4,2277542.06,6344143.55,3194647.4,27842275.76,2982917.25,7987846.27,2792199.81,2664901.83,3023237.68,11085620.58,1482356.02,4539182.08,1226787.53,2941948.71,1844036.22,1501276.37,856981.74,539011.14,131436.48,62962.3,345514.38,13932.38,26292.73,,
CAN,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79139.74,76754.16,74497.56,18889.78,,468113.64,17693.36,332662.79,242312.95,,70848.23,34641.54,145667.53,239306.28,158399.69,243913.81,231179.95,286288.73,325684.69,334581.71,150444.16,102129.92,5857496.54,201365.61,68632.41,560201.58,,
CAN,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,12976928.02,19843565.2,33308239.33,10799204.22,41083958.16,44384049.57,170983.63,3800621.34,972240.1,6013421.08,2069534.45,99048345.2,12765098.45,9595151.58,45689248.52,39764720.93,74098707.88,9777080.01,20865309.75,7868692.52,10046031.08,21277495.64,39442666.33,26450092.71,32835156.46,24243154.02,7103017.78,23457575.4,4672400.42,53864802.29,58835420.43,38534220.65,13075296.8,147917184.52,10772085.53,54836309.65,141515889.55,,
CAN,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460081.11,,,,,,,,,,,,,,,,,,,,,,,75621.82,95826.9,85737.79,93979.05,79992.44,93798.54,43373.23,,,,,,,,
CAN,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18404.91,,
CAN,MTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169523.71,,,,,,,,,,,,,,,,,,,,,,,,
CAN,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,4870333.55,,16722886.68,71366.67,12830383.81,,113989.09,,,,,11322709.57,8100302.78,583587.07,7592029.05,167832.18,252816.56,44249.82,319159.87,822652.45,600978.49,1158716.89,809107.45,5857389.19,827898.88,1897853.03,77447.73,659481.76,1161995.42,1263132.82,206905.8,928311.8,854461.49,585767.42,93649.72,113346.43,1629780.9,,
CAN,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3907216.51,71366.67,,,113989.09,,252408.48,89623.93,,316558.97,383770.81,372487.8,,,,70773.43,,302891.18,,472615.55,115471.8,113634.08,221846.45,183241.6,131787.5,305831.03,182088.05,391164.58,116741.5,,397947.35,41936.78,43403.26,,1086529.36,,
CAN,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915198.21,191260.29,1459336.82,1294139.67,6168692.95,804760.01,335664.35,2427932.02,2555010.51,56275.25,14554934.2,5607020.88,7085699.07,5538141.55,4632374.02,3729815.05,4374330.04,3056916.7,5202309.83,3308487.26,6266637.45,2342738.17,2634193.23,1208859.15,2894368.34,5227645.12,408971.59,3494496.06,,
CAN,FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27248.04,,
CAN,"Middle East, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,19030446.13,,,,,,,,482590.4,,512469.4,1386032.81,1597954.78,2285663.73,,741116.47,5988475.99,17782979.11,2910571.03,4330353.96,12583160.35,10587388.93,11535709.26,5167210.07,5040857,40452.81,1338802.35,3070004.53,3582978.18,1380553.78,10428932.94,3045120.11,2008599.67,2630577.64,4932711.82,6248667.83,,
CAN,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16842.28,157869.69,99746.65,74502.08,42101.28,6940.4,,,,,,,,,
CAN,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209713.97,306158.88,566966.44,209039.07,1234283.38,1721205.73,1515163.45,4010371.35,1322150.2,469986.77,883371.37,1033396.74,1604454.24,2021858.04,,
CAN,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43856.27,,
CAN,MSR,,,,,,,,,,,,,,,,,,,,,,,,,,,199277.15,173004.06,390721.65,1784166.71,,175520.22,433158.53,,373938.5,,,937014.53,153508.33,335239.02,,5166373.88,325984.43,,,242312.95,745284.12,59040.19,15848.5,,65404.17,16982.27,40175.74,43860.44,18945.58,9455.86,48353.26,,,55959.93,52103.15,,43821.2,,
CAN,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,28245543.25,6972063.45,5370078.38,5052760.1,7497755.54,120356.72,134507.12,15997819.76,2761535.81,22026804.63,32694067.01,10068635.89,5070380.01,13247156.06,22989073.7,144154241.35,31336231.05,132614521.77,6193965.06,51583757.24,5865300.06,16266983.7,21819032.6,2721956.69,1213062.64,2099887.89,1285721.26,3446221.37,2476155.41,17133342.45,16460865.25,6925921.11,979111.74,13634829.68,2924893.88,723437.83,6210350.59,,
CAN,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14498.28,93484.62,901409.92,,21980754.52,8652162.14,12082035.07,8484965.15,44549453.82,65500109.7,39125990.62,27082464.23,27150000.09,19495992.5,26895253.64,6205373.78,29427990.87,12240333.52,34131698.69,21260974.85,23912589.38,19778561.97,9576450.72,49280124.96,65118322.7,112480161.27,31157634.47,8375958.18,68450372.01,330758001.79,,
CAN,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,5356569.79,6747158.18,7061121.68,41307027.49,8037700.86,14530567.05,1459060.32,,,,3759817.71,278416.77,5248449.66,5627545.65,,4367736.99,130393.77,,98481.69,283506.15,279481.55,4139657.31,110939.53,781146.82,115650.29,96977.1,367954.32,5476136.91,658885.08,1057563.16,688945.43,716503.03,584616.01,234327.65,130159.79,20270350.53,2507870.29,,
CAN,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97721.86,74497.56,,,2701987.12,1706309.46,2878576.52,2959921.7,1695067.53,3210926.77,310186.12,652344.85,395737.33,421117.4,93893.54,439040.75,290498.85,977518.21,161834.77,311634.34,172235.5,377254.31,131885.83,302154.2,243628.4,,
CAN,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81682.74,,
CAN,"N. & C. America, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,15376224.9,1629698.21,3257055.68,18129988.36,66824.92,,626939.98,,,405031.23,,6631546.29,5367731.77,7618108.53,7423684.66,12869107.44,12294438.79,4306982.73,1843014.45,2065171.45,17029312.26,4040054.15,1044161.85,31101134.55,2793515.93,1698852.64,4210903.06,7192310.38,1428286.04,847633.11,768902.67,3042421.36,5045986.03,10646522.24,2166161.29,1879738.83,4945959.69,,
CAN,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888214.45,1398786.7,39164746.57,20648700.53,3745681.41,13988771.96,27809806.16,12857587.06,3861169.31,31587836.36,32614378.92,1263478.61,26994798.71,3736125.29,29665886.85,1070448.11,,2936832.91,6364611.76,2059158.91,25211277.16,3823065.27,3272856.06,6482366.27,11650745.81,2677645.14,3193161.31,15861039.93,10472143.08,2290691.16,8935108.04,2616381.8,10912452.44,6176289.18,6829614.36,,
CAN,ANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16128.6,,,,,,,,,,,,,,,,,
CAN,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,6639914.64,6574154.12,,,160379.8,,455956.35,,1635980.93,163736.03,,24343384.44,11846372.59,1202390.62,6334102.28,10279791.73,5845890.48,47954350.29,23572594.4,1347773.69,286671.63,9312972.58,20573944.62,9901103.45,5646428.93,31781525.31,1188400.08,10804293.55,5547612.44,9742110.46,1906627.19,1955917.72,18450050.22,11544283.28,6181235.22,18547078.29,8959544.23,,
CAN,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,3985543,40925839.43,42354227.01,12217973.59,11079571.02,128688920.21,649737.8,51779.58,13641276.43,27378387.45,74665075.53,101383719.39,1500293.67,8354570.55,24081553.21,24461894.25,19906861.05,48906135.36,3183005.94,2847177.13,816948.45,13474500.73,2624674.06,1670420.99,6929136.61,10000255.5,2398973.5,8068670.88,5540528.89,3145757.68,1540998.8,5428446.42,6985262.11,9880680.77,13286529.56,7916748.84,14966126.21,,
CAN,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,2618501.76,63343704.96,78144.33,9035020.18,147014.82,451337.72,56994.54,,46742.31,591173.24,307324.23,4214982.63,7478925.64,16118292,4054967.78,,3700575.21,55272784.13,5646674.63,1900945.06,1987214.13,2140231.72,805358.08,2443153.2,781824.03,2001099.81,7755741.18,10825199.87,6149744.99,35965140.07,57803968.32,16423682.88,29878320.65,12756409.25,14953888.46,18780536.59,8032287.48,,
CAN,NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14723.93,,
CAN,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166193.46,,,,,,10110.49,,,4777462.33,5644242.26,3666229.7,2471541.28,,,,,,,,,,,,,,,
CAN,"North of Sahara, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185166.02,,,,,605782.37,,,585715.7,1136340.82,2245.64,,,3866849.44,,587079.52,1100309.12,710321.93,651616.34,1939946.59,1138958.88,3010601.33,3283847.46,,
CAN,"Oceania, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600456.77,65494.41,,,2417756.13,,5056456.73,13904225.21,4953659.36,130172.56,1144065.38,7431738.06,,3329866.77,,16450806.02,3116943.75,3016438.72,3031189.96,2463890.17,2673431.5,3394197.3,3189590.09,3313190.76,,,,415637.9,21464294.47,,
CAN,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,342214664.21,73526723.68,256782269.35,87095881.73,201493158.77,360919727.48,249829882.94,31067749.39,80600573.74,90994143.24,21950796.59,103371222.18,204450745.39,148182103.51,107324610.17,92295592.63,57765353.33,42080955.68,51485529.8,58326646.47,50921122.13,47293794.32,15550469.75,30168848.72,8380064.94,25851197.8,8256471.59,11914976.9,18314268.8,28462251.52,24750645.3,22931329.32,69613835.59,49312899.08,73281151.97,21131795.38,44880604.74,,
CAN,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18404.91,,
CAN,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504203.23,6753234.36,1453684.44,3265242.22,9379925.73,2007505.57,14802544.42,8985834.8,19907215.99,9473611.33,28783367.92,22892545.07,37674795.83,33702743.08,32799461.9,58195512.71,,
CAN,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149575.4,277489.48,129141.56,308644.99,143774.36,378447.6,192287.79,67132.87,752372.06,195890.74,,605782.37,,547490.32,1865100.54,645698.39,1489216.44,1260950.32,72039.25,1471419.25,1246619,909138.66,672218.13,616313.76,314160.53,312123.7,278810.94,102090.71,1074417.17,,
CAN,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312577.32,,,62685.79,170983.63,,,98241.62,57214.62,913272.62,,451139.34,170008.05,,19559.07,251498.44,,,,,63394.02,61989.66,144124.97,271716.29,177.33,3916.68,73677.25,34022.15,160347.89,34179.64,,29514.12,44808.1,6846.08,299237.51,,
CAN,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385789.99,489083.6,76754.16,272661.07,535998.65,,399004.94,1263.81,,242312.95,662617.31,906612.9,207849.24,699006.42,489548.8,310101.18,35807.93,581786.74,486164.57,2922530.9,2068845.1,1572582.07,2221851.6,286331.6,1180275.09,962454.2,1715477.65,,
